id,accuracy,all_correct
LRE01,1.0,True
LRE02,0.0,False
LRE03,0.0,False
LRE04,0.0,False
LRE05,0.0,False
LRE06,1.0,True
LRE07,1.0,True
LRE08,1.0,True
LRE09,1.0,True
LRE10,1.0,True
LRE11,0.75,False
LRE12,1.0,True
LRE13,1.0,True
LRE14,1.0,True
LRE15,1.0,True
LRE16,1.0,True
LRE17,1.0,True
LRE18,1.0,True
LRE19,0.0,False
NDM01,1.0,True
NDM02,1.0,True
NDM03,1.0,True
NDM04,0.5,False
NDM05,1.0,True
NDM06,0.25,False
NDM07,0.25,False
NDM08,1.0,True
NDM09,0.0,False
NDM10,1.0,True
NDM11,0.5,False
NDM12,1.0,True
NDM13,0.0,False
NDM14,1.0,True
NDM15,0.5,False
NDM16,1.0,True
NDM17,0.75,False
NDM18,1.0,True
NDM19,1.0,True
NDM20,0.5,False
NRO01,0.5,False
NRO02,1.0,True
NRO03,1.0,True
NRO04,1.0,True
NRO05,0.0,False
NRO06,1.0,True
NRO07,1.0,True
NRO08,1.0,True
NRO09,0.5,False
NRO10,1.0,True
NRO11,1.0,True
NRO12,1.0,True
NRO13,1.0,True
NRO14,1.0,True
NRO15,1.0,True
NRO16,1.0,True
UTR01,1.0,True
UTR02,1.0,True
UTR03,1.0,True
UTR04,1.0,True
UTR05,1.0,True
UTR06,1.0,True
UTR07,1.0,True
UTR08,1.0,True
UTR09,1.0,True
UTR10,0.25,False
