id,accuracy,all_correct
EMP01,1.0,True
EMP02,1.0,True
EMP03,1.0,True
EMP04,1.0,True
EMP05,1.0,True
EMP06,1.0,True
EMP07,1.0,True
EMP08,0.0,False
EMP09,1.0,True
EMP10,1.0,True
EMP11,1.0,True
EMP12,1.0,True
EMP13,1.0,True
EMP14,1.0,True
EMP15,0.5,False
EMP16,0.0,False
EMP17,1.0,True
EMP18,0.0,False
EMP19,1.0,True
VCI01,1.0,True
VCI02,0.75,False
VCI03,1.0,True
VCI04,1.0,True
VCI05,1.0,True
VCI06,1.0,True
VCI07,1.0,True
VCI08,1.0,True
VCI09,1.0,True
VCI10,1.0,True
VCI11,1.0,True
VCI12,1.0,True
VCI13,1.0,True
VCI14,1.0,True
VCI15,1.0,True
VCI16,1.0,True
VCI17,0.0,False
VCI18,1.0,True
VCI19,1.0,True
VCI20,1.0,True
VCI21,1.0,True
VCI22,1.0,True
VRE01,1.0,True
VRE02,1.0,True
VRE03,1.0,True
VRE04,1.0,True
VRE05,1.0,True
VRE06,1.0,True
VRE07,1.0,True
VRE08,1.0,True
VRE09,1.0,True
VRE10,1.0,True
VRE11,1.0,True
VRE12,1.0,True
VRE13,1.0,True
VRE14,1.0,True
VRE15,1.0,True
VRE16,1.0,True
VRE17,0.0,False
VRE18,1.0,True
VRE19,1.0,True
VRU01,1.0,True
VRU02,1.0,True
VRU03,1.0,True
VRU04,1.0,True
VRU05,1.0,True
VRU06,1.0,True
VRU07,1.0,True
VRU08,1.0,True
VRU09,1.0,True
VRU10,1.0,True
VRU11,1.0,True
VRU12,1.0,True
VRU13,1.0,True
VRU14,1.0,True
VRU15,1.0,True
VRU16,1.0,True
VRU17,1.0,True
VRU18,1.0,True
VRU19,1.0,True
VRU20,1.0,True
VRU21,1.0,True
VRU22,0.25,False
