id,accuracy,all_correct
LRE01,1.0,True
LRE02,0.0,False
LRE03,0.25,False
LRE04,0.25,False
LRE05,1.0,True
LRE06,0.75,False
LRE07,0.75,False
LRE08,0.0,False
LRE09,0.75,False
LRE10,1.0,True
LRE11,0.0,False
LRE12,0.5,False
LRE13,0.75,False
LRE14,1.0,True
LRE15,0.0,False
LRE16,0.25,False
LRE17,0.25,False
LRE18,0.5,False
LRE19,0.5,False
NDM01,0.75,False
NDM02,1.0,True
NDM03,1.0,True
NDM04,0.5,False
NDM05,0.25,False
NDM06,0.0,False
NDM07,0.0,False
NDM08,0.25,False
NDM09,0.25,False
NDM10,0.75,False
NDM11,0.25,False
NDM12,0.25,False
NDM13,0.5,False
NDM14,0.25,False
NDM15,0.25,False
NDM16,1.0,True
NDM17,0.75,False
NDM18,1.0,True
NDM19,1.0,True
NDM20,0.0,False
NRO01,1.0,True
NRO02,1.0,True
NRO03,1.0,True
NRO04,1.0,True
NRO05,0.25,False
NRO06,0.5,False
NRO07,1.0,True
NRO08,0.75,False
NRO09,1.0,True
NRO10,0.75,False
NRO11,1.0,True
NRO12,0.75,False
NRO13,1.0,True
NRO14,1.0,True
NRO15,1.0,True
NRO16,1.0,True
UTR01,1.0,True
UTR02,1.0,True
UTR03,0.75,False
UTR04,1.0,True
UTR05,1.0,True
UTR06,1.0,True
UTR07,1.0,True
UTR08,1.0,True
UTR09,0.75,False
UTR10,0.25,False
