id,accuracy,all_correct
IRC01,1.0,True
IRC02,1.0,True
IRC03,1.0,True
IRC04,0.75,False
IRC05,1.0,True
IRC06,1.0,True
IRC07,0.75,False
IRC08,1.0,True
IRC09,0.75,False
IRC10,1.0,True
IRC11,1.0,True
IRC12,1.0,True
IRC13,1.0,True
IRC14,0.0,False
IRC15,0.75,False
IRC16,1.0,True
IRC17,0.75,False
IRC18,0.75,False
LSP01,0.0,False
LSP02,0.0,False
LSP03,0.25,False
LSP04,1.0,True
LSP05,0.75,False
LSP06,1.0,True
LSP07,0.5,False
LSP08,1.0,True
LSP09,1.0,True
LSP10,1.0,True
LSP11,0.75,False
LSP12,0.0,False
LSP13,1.0,True
LSP14,1.0,True
LSP15,1.0,True
LSP16,1.0,True
LSP17,1.0,True
LSP18,0.75,False
LSP19,0.75,False
LSP20,1.0,True
ORE01,1.0,True
ORE02,1.0,True
ORE03,0.0,False
ORE04,1.0,True
ORE05,0.5,False
ORE06,1.0,True
ORE07,1.0,True
ORE08,1.0,True
ORE09,1.0,True
ORE10,1.0,True
ORE11,1.0,True
ORE12,1.0,True
ORE13,1.0,True
ORE14,1.0,True
ORE15,0.5,False
ORE16,1.0,True
ORE17,0.75,False
ORE18,1.0,True
RSR01,1.0,True
RSR02,0.25,False
RSR03,0.75,False
RSR04,1.0,True
RSR05,0.5,False
RSR06,0.5,False
RSR07,0.75,False
RSR08,0.25,False
RSR09,1.0,True
RSR10,0.75,False
RSR11,1.0,True
RSR12,0.5,False
RSR13,0.75,False
RSR14,1.0,True
RSR15,1.0,True
RSR16,0.5,False
RSR17,1.0,True
RSR18,0.75,False
RSR19,0.75,False
RSR20,0.0,False
RSR21,1.0,True
RSR22,1.0,True
RSR23,0.0,False
RSR24,0.5,False
RSR25,1.0,True
RSR26,0.75,False
RSR27,0.25,False
RSR28,1.0,True
RSR29,1.0,True
RSR30,1.0,True
RSR31,0.75,False
RSR32,0.5,False
TPS01,0.25,False
TPS02,1.0,True
TPS03,0.5,False
TPS04,1.0,True
TPS05,0.75,False
TPS06,0.5,False
TPS07,0.5,False
TPS08,0.0,False
TPS09,0.25,False
TPS10,0.5,False
TPS11,0.5,False
TPS12,1.0,True
TPS13,0.5,False
TPS14,0.25,False
TPS15,1.0,True
TPS16,0.5,False
TPS17,0.0,False
TPS18,0.75,False
TPS19,0.25,False
TPS20,0.5,False
TPS21,0.5,False
TPS22,0.5,False
TPS23,0.25,False
TPS24,0.0,False
TPS25,0.5,False
TSR01,0.75,False
TSR02,1.0,True
TSR03,1.0,True
TSR04,1.0,True
TSR05,1.0,True
TSR06,1.0,True
TSR07,0.25,False
TSR08,1.0,True
TSR09,0.75,False
TSR10,0.25,False
TSR11,1.0,True
TSR12,0.75,False
TSR13,1.0,True
