id,accuracy,all_correct
EMP01,0.5,False
EMP02,1.0,True
EMP03,0.25,False
EMP04,0.25,False
EMP05,1.0,True
EMP06,0.5,False
EMP07,0.5,False
EMP08,0.5,False
EMP09,0.5,False
EMP10,0.5,False
EMP11,1.0,True
EMP12,1.0,True
EMP13,1.0,True
EMP14,1.0,True
EMP15,0.5,False
EMP16,0.5,False
EMP17,0.75,False
EMP18,0.0,False
EMP19,1.0,True
VCI01,0.75,False
VCI02,0.0,False
VCI03,0.5,False
VCI04,0.5,False
VCI05,1.0,True
VCI06,0.75,False
VCI07,0.5,False
VCI08,0.75,False
VCI09,1.0,True
VCI10,0.5,False
VCI11,1.0,True
VCI12,0.5,False
VCI13,0.5,False
VCI14,1.0,True
VCI15,1.0,True
VCI16,1.0,True
VCI17,0.5,False
VCI18,0.5,False
VCI19,0.75,False
VCI20,0.5,False
VCI21,1.0,True
VCI22,0.75,False
VRE01,0.5,False
VRE02,0.75,False
VRE03,1.0,True
VRE04,1.0,True
VRE05,0.0,False
VRE06,0.5,False
VRE07,1.0,True
VRE08,1.0,True
VRE09,0.75,False
VRE10,0.25,False
VRE11,1.0,True
VRE12,0.25,False
VRE13,1.0,True
VRE14,1.0,True
VRE15,1.0,True
VRE16,1.0,True
VRE17,0.25,False
VRE18,1.0,True
VRE19,1.0,True
VRU01,0.75,False
VRU02,1.0,True
VRU03,1.0,True
VRU04,0.75,False
VRU05,1.0,True
VRU06,1.0,True
VRU07,1.0,True
VRU08,1.0,True
VRU09,1.0,True
VRU10,1.0,True
VRU11,1.0,True
VRU12,1.0,True
VRU13,1.0,True
VRU14,1.0,True
VRU15,1.0,True
VRU16,0.75,False
VRU17,1.0,True
VRU18,1.0,True
VRU19,0.0,False
VRU20,1.0,True
VRU21,1.0,True
VRU22,0.0,False
