Metric Type,Group,Accuracy
Total Accuracy,Overall,0.7142857142857143
File Accuracy,LLaVA_v1_5_7B_Custom_circular_PR.xlsx,0.65
File Accuracy,LLaVA_v1_5_7B_Custom_circular_SC.xlsx,0.7281746031746031
File Accuracy,LLaVA_v1_5_7B_Custom_circular_UC.xlsx,0.7439024390243902
Larger Group Accuracy,EMP,0.6447368421052632
Larger Group Accuracy,IRC,0.8611111111111112
Larger Group Accuracy,LRE,0.5
Larger Group Accuracy,LSP,0.7375
Larger Group Accuracy,NDM,0.5
Larger Group Accuracy,NRO,0.875
Larger Group Accuracy,ORE,0.875
Larger Group Accuracy,RSR,0.7109375
Larger Group Accuracy,TPS,0.49
Larger Group Accuracy,TSR,0.8269230769230769
Larger Group Accuracy,UTR,0.875
Larger Group Accuracy,VCI,0.6931818181818182
Larger Group Accuracy,VRE,0.75
Larger Group Accuracy,VRU,0.875
